Name;Acronym;State Acronym;Institution Type
Área1 - Faculdade de Ciência e Tecnologia;AREA1;BA;Outros
Centro de Educação Superior - Única;UNICA;SC;Outros
Centro de Educação Superior de Blumenau;CESBLU;SC;Outros
Centro de Ensino Superior Cenecista de Farroupilha;CESF;RS;Outros
Centro de Ensino Superior de Arcoverde;CESA;PE;Outros
Centro de Ensino Superior de Catalão;CESUC;GO;Outros
Centro de Ensino Superior de Ilhéus;CESUPI;BA;Outros
Centro de Ensino Superior de Jataí;CESUT;GO;Outros
Centro de Ensino Superior de Juiz de Fora;CES/JF;MG;Outros
Centro de Ensino Superior de Uberaba;CESUBE;MG;Outros
Centro de Ensino Superior de Valença;CESVA;RJ;Outros
Centro de Ensino Superior de Vitória;CESV;ES;Outros
Centro de Ensino Superior do Amapá;CEAP;AP;Outros
Centro de Ensino Superior do Vale do Parnaíba;CESVALE;PI;Outros
Centro de Ensino Superior do Vale São Francisco;CESVASF;PE;Outros
Centro de Estudos Superiores Aprendiz;CESA;MG;Outros
Centro de Estudos Superiores de Maceió;CESMAC;AL;Outros
Centro de Tecnologia e Ciência - Cetec;ETEP;SP;Outros
Centro Regional de Estudos em Ciências Humanas;CRECIH;MG;Outros
Centro Superior de Ensino e Pesquisa de Machado;CESEP;MG;Outros
Centro Técnico-Educacional Superior do Oeste Paranaense;CTESOP;PR;Outros
Conservatório de Música de Niterói;CMN;RJ;Outros
Conservatório Dramático Musical São Paulo;CDMSP;SP;Outros
Escola Agrotécnica Federal de Alegrete;EAFA;RS;Outros
Escola Bahiana de Administração;EBA;BA;Outros
Escola Bahiana de Medicina e Saúde Pública;EBMSP;BA;Outros
Escola Brasileira de Administração Pública e de Empresas;EBAPE;RJ;Outros
Escola Brasileira de Economia e Finanças;EBEF;RJ;Outros
ESCOLA DA CIDADE - Faculdade de Arquitetura e Urbanismo;Escola da Cidade;SP;Outros
Escola de Administração de Empresas de São Paulo;FGV-EAESP;SP;Outros
Escola de Direito de São Paulo;EDESP;SP;Outros
Escola de Direito do Rio de Janeiro;DIREITO RIO;RJ;Outros
Escola de Economia de São Paulo;EESP;SP;Outros
Escola de Educação Física de Assis;EEFA;SP;Outros
Escola de Enfermagem da Fundação Técnico Educacional Souza Marques;EEFTESM;RJ;Outros
Escola de Enfermagem Wenceslau Braz;EEWB;MG;Outros
Escola de Engenharia de Piracicaba;EEP;SP;Outros
Escola de Engenharia Kennedy;EEK;MG;Outros
Escola de Ensino Superior Alternativo;CESA;ES;Outros
Escola de Estudos Superiores de Viçosa;ESUV;MG;Outros
Escola de Governo Professor Paulo Neves de Carvalho;EG;MG;Outros
Escola de Medicina Souza Marques da Fundação Técnico-Educacional Souza Marques;EMSM;RJ;Outros
Escola de Música e Belas Artes do Paraná;EMBAP;PR;Outros
Escola de Negócios do Estado da Bahia - Eneb;ENEB;BA;Outros
Escola de Sociologia e Política de São Paulo;ESP;SP;Outros
Escola Superior Batista do Amazonas;ESBAM;AM;Outros
Escola Superior da Amazônia;ESAMAZ;PA;Outros
Escola Superior de Administração de Empresas;INEA;SP;Outros
Escola Superior de Administração e Gestão;ESAGS;SP;Outros
Escola Superior de Administração e Marketing e Comunicação de Campinas;ESAMC DE CAMPINAS;SP;Outros
Escola Superior de Administração, Direito e Economia;ESADE;RS;Outros
Escola Superior de Administração, Marketing e Comunicação de Maceió - ESAMC;ESAMC - Maceió;AL;Outros
Escola Superior de Administração, Marketing e Comunicação de Salvador;FACOC SALVADOR;BA;Outros
