Name,Acronym,city,state,country_name,country_code
Pontifical Catholic University of Rio de Janeiro,None,Rio de Janeiro,None,Brazil,BR
University of Brasília,UnB,Brasília,None,Brazil,BR
Universidade Federal do Ceará,UFC,Fortaleza,None,Brazil,BR
Federal University of Bahia,UFBA,Salvador,None,Brazil,BR
Universidade Federal de Minas Gerais,UFMG,Belo Horizonte,Minas Gerais,Brazil,BR
Federal University of Rio Grande do Sul,UFRGS,Porto Alegre,Rio Grande do Sul,Brazil,BR
Federal University of Rio de Janeiro,UFRJ,Rio de Janeiro,None,Brazil,BR
Universidade de São Paulo,USP,São Paulo,None,Brazil,BR
Universidade Federal de Viçosa,UFV,Viçosa,None,Brazil,BR
Federal University of Paraná,UFPR,Curitiba,Paraná,Brazil,BR
Universidade de Pernambuco,UPE,Recife,None,Brazil,BR
Federal University of Para,UFPA,Belém,None,Brazil,BR
State University of Maringa,UEM,Maringá,None,Brazil,BR
Fundacao Universitaria Jose Bonifacio,FUJB,Rio de Janeiro,None,Brazil,BR
University of Caxias Do Sul,UCS,Caxias do Sul,None,Brazil,BR
São Paulo State University,UNESP,São Paulo,None,Brazil,BR
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,None,São Paulo,None,Brazil,BR
Hospital de Clínicas Universidade Federal do Paraná,None,Curitiba,None,Brazil,BR
State University of Campinas,UNICAMP ,Campinas,None,Brazil,BR
Centro Universitário Filadélfia,UNIFIL,Londrina,None,Brazil,BR
Centro Universitário Franciscano,UNIFRA,Santa Maria,None,Brazil,BR
Fluminense Federal University,UFF,Niterói,None,Brazil,BR
Federal Rural University of Pernambuco,UFRPE,Recife,None,Brazil,BR
Federal University of Alagoas,UFAL ,Maceió,None,Brazil,BR
Federal University of Alfenas,None,Alfenas,None,Brazil,BR
Federal University of Amazonas,UFAM,Manaus,None,Brazil,BR
Federal University of Campina Grande,UFCG,Campina Grande,None,Brazil,BR
Universidade Federal de Goiás,UFG,Goiânia,None,Brazil,BR
Universidade Federal de Juiz de Fora,UFJF,Juiz de Fora,None,Brazil,BR
Federal University of Maranhão,UFMA,São Luís,None,Brazil,BR
Universidade Federal de Mato Grosso,UFMT,Cuiabá,None,Brazil,BR
Hospital Universitário Clementino Fraga Filho,HUCFF,Rio de Janeiro,None,Brazil,BR
Universidade Federal de Ouro Preto,UFOP,Ouro Preto,None,Brazil,BR
Hospital Universitário de Brasília,HUB,Brasília,None,Brazil,BR
Federal University of Paraíba,UFPB,João Pessoa,None,Brazil,BR
Universidade Federal de Pelotas,UFPEL,Pelotas,None,Brazil,BR
Federal University of Pernambuco,UFPE,Recife,None,Brazil,BR
Federal University of Rio Grande do Norte,UFRN,Natal,None,Brazil,BR
Universidade Federal de Santa Catarina,UFSC,Florianópolis,None,Brazil,BR
Universidade Federal de Santa Maria,UFSM,Santa Maria,None,Brazil,BR
Federal University of São Carlos,UFSCar,São Carlos,None,Brazil,BR
Federal University of São Paulo,UNIFESP,São Paulo,None,Brazil,BR
Universidade Federal de Sergipe,UFS,Aracaju,None,Brazil,BR
Federal University of Lavras,UFLA,Lavras,None,Brazil,BR
Federal University of Triângulo Mineiro,UFTM ,Uberaba,None,Brazil,BR
Federal University of Uberlândia,UFU,Uberlândia,None,Brazil,BR
Universidade Federal dos Vales do Jequitinhonha e Mucuri,UFVJM,Diamantina,None,Brazil,BR
