Name;Acronym;city;state;country_name;country_code
Pontifical Catholic University of Rio de Janeiro;;Rio de Janeiro;;Brazil;BR
University of Brasília;UnB;Brasília;;Brazil;BR
Universidade Federal do Ceará;UFC;Fortaleza;;Brazil;BR
Federal University of Bahia;UFBA;Salvador;;Brazil;BR
Universidade Federal de Minas Gerais;UFMG;Belo Horizonte;Minas Gerais;Brazil;BR
Federal University of Rio Grande do Sul;UFRGS;Porto Alegre;Rio Grande do Sul;Brazil;BR
Federal University of Rio de Janeiro;UFRJ;Rio de Janeiro;;Brazil;BR
Universidade de São Paulo;USP;São Paulo;;Brazil;BR
Universidade Federal de Viçosa;UFV;Viçosa;;Brazil;BR
Federal University of Paraná;UFPR;Curitiba;Paraná;Brazil;BR
Universidade de Pernambuco;UPE;Recife;;Brazil;BR
Federal University of Para;UFPA;Belém;;Brazil;BR
State University of Maringa;UEM;Maringá;;Brazil;BR
Fundacao Universitaria Jose Bonifacio;FUJB;Rio de Janeiro;;Brazil;BR
University of Caxias Do Sul;UCS;Caxias do Sul;;Brazil;BR
São Paulo State University;UNESP;São Paulo;;Brazil;BR
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo;;São Paulo;;Brazil;BR
Hospital de Clínicas Universidade Federal do Paraná;;Curitiba;;Brazil;BR
State University of Campinas;UNICAMP ;Campinas;;Brazil;BR
Centro Universitário Filadélfia;UNIFIL;Londrina;;Brazil;BR
Centro Universitário Franciscano;UNIFRA;Santa Maria;;Brazil;BR
Fluminense Federal University;UFF;Niterói;;Brazil;BR
Federal Rural University of Pernambuco;UFRPE;Recife;;Brazil;BR
Federal University of Alagoas;UFAL ;Maceió;;Brazil;BR
Federal University of Alfenas;;Alfenas;;Brazil;BR
Federal University of Amazonas;UFAM;Manaus;;Brazil;BR
Federal University of Campina Grande;UFCG;Campina Grande;;Brazil;BR
Universidade Federal de Goiás;UFG;Goiânia;;Brazil;BR
Universidade Federal de Juiz de Fora;UFJF;Juiz de Fora;;Brazil;BR
Federal University of Maranhão;UFMA;São Luís;;Brazil;BR
Universidade Federal de Mato Grosso;UFMT;Cuiabá;;Brazil;BR
Hospital Universitário Clementino Fraga Filho;HUCFF;Rio de Janeiro;;Brazil;BR
Universidade Federal de Ouro Preto;UFOP;Ouro Preto;;Brazil;BR
Hospital Universitário de Brasília;HUB;Brasília;;Brazil;BR
Federal University of Paraíba;UFPB;João Pessoa;;Brazil;BR
Universidade Federal de Pelotas;UFPEL;Pelotas;;Brazil;BR
Federal University of Pernambuco;UFPE;Recife;;Brazil;BR
Federal University of Rio Grande do Norte;UFRN;Natal;;Brazil;BR
Universidade Federal de Santa Catarina;UFSC;Florianópolis;;Brazil;BR
Universidade Federal de Santa Maria;UFSM;Santa Maria;;Brazil;BR
