Institution Name;Institution Country;Institution State;Institution City;;;;
Academia Nacional de Polícia (ANP);Brasil;Distrito Federal;Brasília;;;;
Advocacia-Geral da União (AGU);Brasil;Distrito Federal;Brasília;;;;
Atitus Educação S.A.;Brasil;Rio Grande do Sul;Passo Fundo;;;;
Biblioteca Virtual de Medicina Veterinária e Zootecnia (BVS Vet);Brasil;Distrito Federal;Brasília;;;;
Biblioteca Virtual em  Saúde;Brasil;São Paulo;São Paulo;;;;
Câmara dos Deputados;Brasil;Distrito Federal;Brasília;;;;
Câmara Legislativa do Distrito Federal;Brasil;Distrito Federal;Brasília;;;;
Centro de Ensino Superior de Juiz de Fora (CES/JF);Brasil;Minas Gerais;Juiz de Fora;;;;
Centro de Tecnologia Mineral;Brazil;Rio de Janeiro;Rio de Janeiro;;;;
Centro Universitário ABEU (Uniabeu);Brasil;Rio de Janeiro;Belford Roxo;;;;
Centro Universitário Augusto Motta (UNISUAM);Brasil;Rio de Janeiro;Rio de Janeiro;;;;
Centro Universitário Autônomo do Brasil (UNIBRASIL);Brasil;Paraná;Curitiba;;;;
Centro Universitário Barão de Mauá (CBM);Brasil;São Paulo;Ribeirão Preto;;;;
Centro Universitário Barriga Verde (UNIBAVE);Brasil;Santa Catarina;Orleans;;;;
Centro Universitário CESMAC;Brasil;Alagoas;Maceió;;;;
Centro Universitário Christus (Unichristus);Brasil;Ceará;Fortaleza;;;;
Centro Universitário Curitiba (UNICURITIBA);Brasil;Paraná;Curitiba;;;;
Centro Universitário das Faculdades Metropolitanas Unidas (FMU);Brasil;São Paulo;São Paulo;;;;
Centro Universitário de Adamantina (FAI);Brasil;São Paulo;Adamantina;;;;
Centro Universitário de Anápolis (UNIEVANGÉLICA);Brasil;Goiás;Anápolis;;;;
Centro Universitário de Belo Horizonte (UniBH);Brasil;Minas Gerais;Belo Horizonte;;;;
Centro Universitário de Brusque (UNIFEBE);Brasil;Santa Catarina;Brusque;;;;
Centro Universitário de Formiga (UNIFORMG);Brasil;Minas Gerais;Formiga;;;;
Centro Universitário de João Pessoa (UNIPE);Brasil;Paraíba;João Pessoa;;;;
Centro Universitário de Maringá (UNICESUMAR);Brasil;Paraná;Maringá;;;;
Centro Universitário de Patos de Minas (UNIPAM);Brasil;Minas Gerais;Patos de Minas;;;;
Centro Universitário de Valença (UNIFAA);Brasil;Rio de Janeiro;Valença;;;;
Centro Universitário de Várzea Grande (UNIVAG);Brasil;Mato Grosso;Várzea Grande;;;;
Centro Universitário de Volta Redonda (UNIFOA);Brasil;Rio de Janeiro;Volta Redonda;;;;
Centro Universitário de Votuporanga (UNIFEV);Brasil;São Paulo;Votuparanga;;;;
Centro Universitário do Planalto Central Apparecido dos Santos (UNICEPLAC);Brasil;Distrito Federal;Brasília;;;;
Centro Universitário Doctum de Teófilo Otoni (UNIDOCTUM);Brasil;Minas Gerais;Teófilo Otoni;;;;
Centro Universitário Eniac;Brasil;São Paulo;Guarulhos;;;;
Centro Universitário Eurípedes de Marília (UNIVEM);Brasil;São Paulo;Marília;;;;
Centro Universitário FACENS (UNIFACENS);Brasil;São Paulo;Sorocaba;;;;
Centro Universitário FACEX (UNIFACEX);Brasil;Rio Grande do Norte;Natal;;;;
Centro Universitário FAMINAS (UNIFAMINAS);Brasil;Minas Gerais;Belo Horizonte;;;;
Centro Universitário FIAM-FAAM (UNIFIAMFAAM);Brasil;São Paulo;São Paulo;;;;
Centro Universitário Filadélfia (UNIFIL);Brasil;Paraná;Londrina;;;;
Centro Universitário FIP-MOC;Brasil;Minas Gerais;Montes Claros;;;;
Centro Universitário ICESP (UNICESP);Brasil;Distrito Federal;Brasília;;;;
Centro Universitário Ingá (UNINGÁ);Brasil;Paraná;Maringá;;;;
Centro Universitário Joaquim Nabuco (UNINABUCO);Brasil;Pernambuco;Recife;;;;
Centro Universitário Jorge Amado (UNIJORGE);Brasil;Bahia;Salvador;;;;
Centro Universitário Leonardo da Vinci (UNIASSELVI);Brasil;Santa Catarina;Indaial;;;;
Centro Universitário Lusíada (UNILUS);Brasil;São Paulo;Santos;;;;
Centro Universitário Metodista (IPA);Brasil;Rio Grande do Sul;Porto Alegre;;;;
Centro Universitário Metropolitano de Maringá (UNIFAMMA);Brasil;Paraná;Maringá;;;;
Centro Universitário Montes Belos (UniMB);Brasil;Goiás;Montes Belos;;;;
Centro Universitário Municipal de Franca (Uni-FACEF);Brasil;São Paulo;Franca;;;;
Centro Universitário Padre Anchieta (UNIANCHIETA);Brasil;São Paulo;Jundiaí;;;;
Centro Universitário Ritter dos Reis (UNIRITTER);Brasil;Rio Grande do Sul;Porto Alegre;;;;
Centro Universitário Saúde ABC (CUSABC);Brasil;São Paulo;Santo André;;;;
Centro Universitário Serra dos Órgãos (UNIFESO);Brasil;Rio de Janeiro;Teresópolis;;;;
Centro Universitário Sete de Setembro (UNI7);Brasil;Ceará;Fortaleza;;;;
Centro Universitário Teresa D´Ávila (UNIFATEA);Brasil;São Paulo;Lorena;;;;
Centro Universitário Toledo (UNITOLEDO);Brasil;São Paulo;Araçatuba;;;;
Centro Universitário UNIFACIG;Brasil;Minas Gerais;Manhuaçu;;;;
Centro Universitário UniPROJEÇÃO;Brasil;Distrito Federal;Brasília;;;;
Colégio Dom Pedro II;Brasil;Rio de Janeiro;Niterói;;;;
Editora Acadêmica Periodicojs;Brasil;Paraíba;João Pessoa;;;;
Empresa Brasileira de Pesquisa Agropecuária;Brasil;Distrito Federal;Brasília;;;;
Escola Nacional De Administração Pública;Brasil;Distrito Federal;Brasília;;;;
Exército Brasileiro (EB);Brasil;Distrito Federal;Brasília;;;;
Faculdade de Talentos Humanos (FACTHUS);Brasil;Minas Gerais;Uberaba;;;;
Faculdade Jesuíta de Filosofia e Teologia (FAJE);Brasil;Minas Gerais;Belo Horizonte;;;;
Faculdade Pan-Americana de Administração e Direito (FAPAD);Brasil;Paraná;Curitiba;;;;
Faculdades do Vale do Rio Juruena (AJES);Brasil;Mato Grosso;Juína;;;;
Faculdades EST;Brazil;Rio Grande do Sul;São Leopoldo;;;;
Faculdades Integradas de Taquara/RS (Faccat);Brasil;Rio Grande do Sul;Taquara;;;;
Federal University of Southern and Southeastern Pará;Brazil;Pará;Marabá;;;;
Fundação Carlos Chagas (FCC);Brasil;São Paulo;Bauru;;;;
Fundação de Economia e Estatística Siegfried Emanuel Heuser (FEE);Brasil;Rio Grande do Sul;Porto Alegre;;;;
Fundação Getúlio Vargas (FGV) ;Brasil;Rio de Janeiro;Rio de Janeiro;;;;
Fundação Oswaldo Cruz;Brazil;Rio de Janeiro;Rio de Janeiro;;;;
Fundação Oswaldo Cruz (Fiocruz);Brasil;Rio de Janeiro;Rio de Janeiro;;;;
Fundação Universidade Regional de Blumenau (FURB);Brasil;Santa Catarina;Blumenau;;;;
Grupo MultiAtual Educacional (GMAE);Brasil;Minas Gerais;Formiga;;;;
Grupo Verde de Agroecologia e Abelhas (GVAA);Brasil;Paraíba;Pombal;;;;
Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa (IDP);Brasil;Distrito Federal;Brasília;;;;
Instituto Brasileiro de Estudos e Pesquisas Sociais (IBEPES);Brasil;Paraíba;João Pessoa;;;;
Instituto Brasileiro de Geografia e Estatística;Brazil;Rio de Janeiro;Rio de Janeiro;;;;
Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict);Brasil;Distrito Federal;Brasília;;;;
Instituto Butantan;Brazil;São Paulo;São Paulo;;;;
Instituto Evandro Chagas (IEC);Brasil;Pará;Belém;;;;
Instituto Federal do Rio Grande do Norte;Brasil;Rio Grande do Norte;Natal;;;;
Museu Paraense Emílio Goeldi;Brazil;Pará;Belém;;;;
Pontifícia Universidade Católica de Campinas (PUC-Campinas);Brasil;São Paulo;Campinas;;;;
Rede da Universidade Aberta do SUS;Brasil;São Paulo;São Paulo;;;;
Sociedade Brasileira de Estudos Interdisciplinares da Comunicação;Brazil;São Paulo;São Paulo;;;;
Universidade Alto Vale do Rio do Peixe (UNIARP);Brasil;Santa Catarina;Caçador;;;;
Universidade Anhanguera Unopar;Brasil;São Paulo;São Paulo;;;;
Universidade Brasil;Brazil;São Paulo;São Paulo;;;;
Universidade Cândido Mendes (UCM);Brasil;Rio de Janeiro;Niterói;;;;
Universidade Católica de Pelotas (UCPel);Brasil;Rio Grande do Sul;Pelotas;;;;
Universidade Católica de Petrópolis (UCP);Brasil;Rio de Janeiro;Petrópolis;;;;
